INSTALL_LOCATION_PROVIDER,unknown
INSTALL_PACKAGES,dangerous
INSTALL_SHORTCUT,normal
INSTANT_APP_FOREGROUND_SERVICE,signature|development|instant|appop
INTERACT_ACROSS_PROFILES,unknown
INTERNET,normal
KILL_BACKGROUND_PROCESSES,normal
LAUNCH_CAPTURE_CONTENT_ACTIVITY_FOR_NOTE,internal|role
LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK,unknown
LOADER_USAGE_STATS,signature|privileged|appop
LOCATION_HARDWARE,unknown
MANAGE_DEVICE_LOCK_STATE,internal|role
MANAGE_DEVICE_POLICY_ACCESSIBILITY,internal|role
MANAGE_DEVICE_POLICY_ACCOUNT_MANAGEMENT,internal|role
MANAGE_DEVICE_POLICY_ACROSS_USERS,internal|role
MANAGE_DEVICE_POLICY_ACROSS_USERS_FULL,internal|role
MANAGE_DEVICE_POLICY_ACROSS_USERS_SECURITY_CRITICAL,internal|role
MANAGE_DEVICE_POLICY_AIRPLANE_MODE,internal|role
MANAGE_DEVICE_POLICY_APPS_CONTROL,internal|role
MANAGE_DEVICE_POLICY_APP_FUNCTIONS,internal|role
MANAGE_DEVICE_POLICY_APP_RESTRICTIONS,internal|role
MANAGE_DEVICE_POLICY_APP_USER_DATA,internal|role
MANAGE_DEVICE_POLICY_ASSIST_CONTENT,internal|role
MANAGE_DEVICE_POLICY_AUDIO_OUTPUT,internal|role
MANAGE_DEVICE_POLICY_AUTOFILL,internal|role
MANAGE_DEVICE_POLICY_BACKUP_SERVICE,internal|role
MANAGE_DEVICE_POLICY_BLOCK_UNINSTALL,internal|role
MANAGE_DEVICE_POLICY_BLUETOOTH,internal|role
MANAGE_DEVICE_POLICY_BUGREPORT,internal|role
MANAGE_DEVICE_POLICY_CALLS,internal|role
MANAGE_DEVICE_POLICY_CAMERA,internal|role
MANAGE_DEVICE_POLICY_CAMERA_TOGGLE,internal|role
MANAGE_DEVICE_POLICY_CERTIFICATES,internal|role
MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE,internal|role
MANAGE_DEVICE_POLICY_CONTENT_PROTECTION,internal|role
MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES,internal|role
MANAGE_DEVICE_POLICY_DEFAULT_SMS,internal|role
MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS,internal|role
MANAGE_DEVICE_POLICY_DISPLAY,internal|role
MANAGE_DEVICE_POLICY_FACTORY_RESET,internal|role
MANAGE_DEVICE_POLICY_FUN,internal|role
MANAGE_DEVICE_POLICY_INPUT_METHODS,internal|role
MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES,internal|role
MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES,internal|role
MANAGE_DEVICE_POLICY_KEYGUARD,internal|role
MANAGE_DEVICE_POLICY_LOCALE,internal|role
MANAGE_DEVICE_POLICY_LOCATION,internal|role
MANAGE_DEVICE_POLICY_LOCK,internal|role
MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS,internal|role
MANAGE_DEVICE_POLICY_LOCK_TASK,internal|role
MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,internal|role
MANAGE_DEVICE_POLICY_METERED_DATA,internal|role
MANAGE_DEVICE_POLICY_MICROPHONE,internal|role
MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE,internal|role
MANAGE_DEVICE_POLICY_MOBILE_NETWORK,internal|role
MANAGE_DEVICE_POLICY_MODIFY_USERS,internal|role
